"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 01 18:24:13 CST 2026","Mon Jun 01 18:24:44 CST 2026","30431","TestCase","test_homepage","","","","test_robot_model_is_m7",""
"passed","Mon Jun 01 18:29:33 CST 2026","Mon Jun 01 18:29:36 CST 2026","3000","","","","","","test_robot_status_is_active",""
"skipped","Mon Jun 01 18:29:49 CST 2026","Mon Jun 01 18:29:49 CST 2026","0","","","","","","test_robot_status_is_active",""
"failed","Mon Jun 01 18:24:44 CST 2026","Mon Jun 01 18:25:14 CST 2026","30326","TestCase","test_homepage","","","","test_robot_hand_is_none",""
"failed","Mon Jun 01 18:23:43 CST 2026","Mon Jun 01 18:24:13 CST 2026","30379","TestCase","test_homepage","","","","test_robot_status_is_active",""
