"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 01 18:38:07 CST 2026","Mon Jun 01 18:38:07 CST 2026","251","TestCase","test_homepage","","","","test_robot_model_is_m7",""
"failed","Mon Jun 01 18:38:07 CST 2026","Mon Jun 01 18:38:07 CST 2026","216","TestCase","test_homepage","","","","test_robot_hand_is_none",""
"passed","Mon Jun 01 18:29:33 CST 2026","Mon Jun 01 18:29:36 CST 2026","3000","","","","","","test_robot_status_is_active",""
"skipped","Mon Jun 01 18:29:49 CST 2026","Mon Jun 01 18:29:49 CST 2026","0","","","","","","test_robot_status_is_active",""
"passed","Mon Jun 01 18:38:07 CST 2026","Mon Jun 01 18:38:07 CST 2026","32","TestCase","test_homepage","","","","test_robot_status_is_active",""
