"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 01 18:29:33 CST 2026","Mon Jun 01 18:29:36 CST 2026","3000","","","","","","test_robot_status_is_active",""
"failed","Mon Jun 01 18:36:08 CST 2026","Mon Jun 01 18:36:08 CST 2026","384","TestCase","test_homepage","","","","test_robot_model_is_m7",""
"skipped","Mon Jun 01 18:29:49 CST 2026","Mon Jun 01 18:29:49 CST 2026","0","","","","","","test_robot_status_is_active",""
"passed","Mon Jun 01 18:36:08 CST 2026","Mon Jun 01 18:36:08 CST 2026","41","TestCase","test_homepage","","","","test_robot_status_is_active",""
"failed","Mon Jun 01 18:36:08 CST 2026","Mon Jun 01 18:36:09 CST 2026","334","TestCase","test_homepage","","","","test_robot_hand_is_none",""
